Name,Image
S3,https://static1.squarespace.com/static/5500a991e4b0ed07e64029e1/55073e80e4b08d28db62c5a3/55e3ae4fe4b0b7c58537c4e4/1440984656162/aws-s3-logo.png?format=500w
DropBox,https://cfl.dropboxstatic.com/static/images/logo_catalog/glyph_m1-vflCrXgzt.svg
OAuth,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Oauth_logo.svg/598px-Oauth_logo.svg.png
