Name,Image
OSF,https://cdn.cos.io/media/images/cos_center_logo_small.original.png
Hypothes.is,https://d242fdlp0qlcia.cloudfront.net/uploads/2016/12/15180059/logo_new.png
ORCID,https://orcid.org/sites/default/files/images/orcid_64x64.png
JASP,https://static.jasp-stats.org/presentations/August2015/RM/assets/img/JASP_logo2.png
Zotero,https://www.zotero.org/support/_media/logo/zotero_512x512x32.png
Jupyter,http://jupyter.org/assets/try/jupyter.png
Galaxy,https://galaxyproject.org/images/galaxy-logos/galaxy_project_logo_square.png
